               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08893,            0.030294,            0.022496,           0.0088463,                0.76,            0.013684,           0.0046609,            0.078995,             0.01969,            0.021933,              0.0946,              0.0006,              0.0006
                   1,            0.089686,            0.035316,            0.021978,            0.043896,                0.12,            0.066918,            0.020665,            0.062803,            0.017274,            0.018814,            0.088274,           0.0012743,           0.0012743
                   2,            0.084341,            0.032386,            0.021557,             0.44111,                 0.1,             0.20539,            0.073558,            0.056741,            0.016065,            0.019281,            0.081921,           0.0019208,           0.0019208
                   3,            0.067991,            0.029314,            0.013648,             0.41911,                0.18,             0.24331,             0.10451,            0.062094,            0.014664,            0.019153,             0.07554,           0.0025396,           0.0025396
                   4,            0.061553,            0.029534,            0.013503,             0.41818,              0.4457,             0.41021,             0.17915,            0.044284,            0.013089,            0.011817,            0.069131,           0.0031307,           0.0031307
                   5,            0.050576,            0.026961,            0.011129,             0.39854,                0.48,             0.39625,             0.16739,            0.045056,            0.011957,            0.010883,            0.062694,           0.0036941,           0.0036941
                   6,            0.044522,             0.02624,           0.0061728,             0.41606,                0.62,             0.42542,              0.2138,            0.048297,            0.010519,           0.0088043,             0.05623,           0.0042298,           0.0042298
                   7,            0.039666,            0.023318,           0.0034745,             0.45836,                0.56,             0.43999,             0.21175,            0.047884,            0.008728,           0.0086777,            0.049738,           0.0047377,           0.0047377
                   8,            0.047526,            0.022158,           0.0031435,             0.38854,                 0.6,             0.36216,             0.17562,            0.044325,           0.0076971,           0.0084656,            0.043218,           0.0052179,           0.0052179
                   9,            0.048327,             0.02055,           0.0034441,             0.42315,                0.66,               0.478,             0.25389,            0.052614,           0.0067043,           0.0086689,             0.03667,           0.0056704,           0.0056704
                  10,            0.046901,            0.024797,           0.0036607,             0.53832,              0.6064,             0.56914,             0.29612,            0.051422,           0.0066035,           0.0078388,            0.030095,           0.0060952,           0.0060952
                  11,             0.05253,            0.022943,           0.0040971,             0.47429,                0.52,             0.49002,              0.2514,            0.047122,           0.0063277,           0.0077287,            0.023492,           0.0064923,           0.0064923
                  12,            0.042568,            0.018506,           0.0018235,             0.43487,                0.64,             0.47877,             0.26218,            0.048894,           0.0061755,           0.0071702,            0.016862,           0.0068616,           0.0068616
                  13,            0.047834,            0.020221,            0.002518,             0.47596,                0.56,             0.45852,             0.26303,             0.03882,           0.0061001,           0.0027955,            0.010203,           0.0072032,           0.0072032
                  14,            0.050936,            0.020503,           0.0017974,             0.56558,             0.52079,             0.53525,             0.24979,            0.034759,           0.0063564,           0.0022407,            0.007228,            0.007228,            0.007228
                  15,             0.04962,            0.018399,           0.0019557,             0.61472,                0.62,             0.62098,             0.35894,            0.038176,           0.0062017,           0.0032921,            0.007228,            0.007228,            0.007228
                  16,            0.040587,            0.022941,           0.0020548,             0.55055,                0.48,             0.46987,             0.22589,            0.042774,           0.0062016,           0.0031769,             0.00703,             0.00703,             0.00703
                  17,            0.049666,            0.019118,           0.0018533,              0.4874,                0.58,             0.49564,             0.29493,            0.042235,           0.0061498,           0.0038235,            0.006832,            0.006832,            0.006832
