               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08893,            0.030294,            0.022496,           0.0088463,                0.76,            0.013685,           0.0046611,            0.078995,             0.01969,            0.021933,              0.0946,              0.0006,              0.0006
                   1,            0.089618,             0.03533,            0.021964,            0.051236,                0.14,            0.066396,            0.021029,            0.062583,            0.017266,            0.018866,            0.088297,           0.0012968,           0.0012968
                   2,            0.083833,            0.032318,            0.021425,             0.20339,                0.22,             0.16948,            0.071755,            0.062162,            0.016229,            0.019742,             0.08199,           0.0019901,           0.0019901
                   3,            0.067818,             0.02929,            0.013512,             0.47156,             0.23221,             0.28064,             0.10197,            0.059102,            0.014655,             0.01848,             0.07568,             0.00268,             0.00268
                   4,            0.061251,            0.029362,            0.013283,             0.52594,                0.52,             0.47835,             0.20227,            0.041515,            0.012996,           0.0084404,            0.069366,           0.0033663,           0.0033663
                   5,            0.051944,            0.026407,            0.010696,             0.50494,                0.54,             0.48445,             0.20437,            0.046204,             0.01172,           0.0098854,            0.063049,           0.0040493,           0.0040493
                   6,            0.044981,             0.02576,           0.0059039,             0.44602,                0.68,             0.46133,              0.2304,            0.049662,           0.0091721,           0.0086655,            0.056729,           0.0047287,           0.0047287
                   7,            0.039756,              0.0228,           0.0032193,             0.39391,                0.58,             0.40537,             0.18947,            0.048222,           0.0085976,           0.0063015,            0.050405,           0.0054047,           0.0054047
                   8,            0.046045,            0.021638,           0.0031693,             0.44658,                 0.5,             0.40979,             0.20209,            0.047025,           0.0072696,           0.0044121,            0.044077,           0.0060772,           0.0060772
                   9,            0.047782,            0.020289,           0.0031472,             0.58465,             0.56311,             0.54772,             0.27083,            0.046127,            0.006381,            0.004274,            0.037746,           0.0067463,           0.0067463
                  10,            0.050266,            0.023456,           0.0030462,             0.77374,                0.56,             0.64466,             0.30916,            0.041431,           0.0063396,           0.0065418,            0.031412,           0.0074119,           0.0074119
                  11,            0.053395,            0.022727,           0.0036466,             0.44422,                 0.5,             0.38387,             0.19381,            0.063391,           0.0068206,           0.0084438,            0.025074,            0.008074,            0.008074
                  12,            0.042704,            0.017943,           0.0020846,             0.39122,                0.54,             0.40058,             0.20359,            0.062492,           0.0073266,           0.0091917,            0.018733,           0.0087327,           0.0087327
                  13,            0.052565,            0.020341,           0.0024225,             0.36463,             0.56244,              0.4184,             0.21497,            0.055878,            0.006931,           0.0083294,            0.012388,           0.0093879,           0.0093879
                  14,            0.049594,            0.020165,           0.0018703,             0.61916,                0.52,             0.53374,             0.24809,            0.049067,           0.0065787,           0.0072588,           0.0096535,           0.0096535,           0.0096535
                  15,            0.049371,            0.018464,           0.0021059,              0.4108,                0.62,             0.41071,             0.20378,            0.049745,           0.0062875,           0.0062408,           0.0096535,           0.0096535,           0.0096535
                  16,            0.044314,            0.021817,           0.0022654,              0.4071,                 0.6,             0.43168,             0.21681,            0.043849,           0.0062606,           0.0044983,           0.0096288,           0.0096288,           0.0096288
